in association with,~와 공동으로,"The event was organized in association with local charities.","그 행사는 지역 자선 단체와 공동으로 조직되었습니다."
in compliance with,"~에 따라, ~와 협력하여","The factory operates in compliance with environmental regulations.","공장은 환경 규정을 준수하며 운영됩니다."
in light of,~에 비추어,"In light of recent events, the policy will be reviewed.","최근 사건에 비추어 정책이 검토될 것입니다."
in terms of,~의 관점에서,"The project was successful in terms of profitability.","그 프로젝트는 수익성의 관점에서 성공적이었습니다."
in the red,적자의,"The company has been in the red for the past three quarters.","그 회사는 지난 세 분기 동안 적자를 기록했습니다."
incidence,"발생정도, 범위","The incidence of flu is higher during the winter season.","독감 발생률은 겨울철에 더 높습니다."
objectify,객관화하다,"The data helps us objectify the problem and find solutions.","그 데이터는 문제를 객관화하고 해결책을 찾는 데 도움을 줍니다."
obligate,의무를 지우다,"The contract obligates both parties to meet the deadlines.","계약은 양측 모두에게 기한을 준수할 의무를 부여합니다."
oblige,부득이 ~하게 하다,"The heavy rain obliged us to cancel the outdoor event.","폭우로 인해 야외 행사를 취소할 수밖에 없었습니다."
obscure,덮어 감추다,"The meaning of the ancient text was obscure to the scholars.",그 고대 텍스트의 의미는 학자들에게 이해하기 어려웠다.
obsolete,쓸모없게 된,"Typewriters are now considered obsolete.",타자기는 이제 쓸모없다고 여겨진다.
obstruct,방해하다,"The parked car obstructed the view of the pedestrians.",주차된 차가 보행자의 시야를 방해했다.
occupancy,"점유, 선점","The building’s occupancy rate has increased since last year.",그 건물의 점유율이 작년 이후로 증가했다.
omission,생략,"The omission of important details caused confusion.",중요한 세부사항의 생략이 혼란을 초래했다.
opportune,"시기가 좋은, 알맞은","It was an opportune time to launch the new product.",새 제품을 출시하기에 좋은 시기였다.
orchestrate,"주관하다, 조정하다","She orchestrated the event down to the smallest detail.",그녀는 작은 세부 사항까지 그 행사를 조정했다.
originate,"비롯되다, 유래하다","The custom originates from ancient traditions.",그 관습은 고대 전통에서 유래되었다.
out of thin air,난데없이,"The idea seemed to come out of thin air.",그 아이디어는 난데없이 떠오른 것 같았다.
outpace,보다 속도가 빠르다,"The new runner outpaced all his competitors.",새로운 주자가 모든 경쟁자를 앞질렀다.
outskirt,"교외, 변두리","She lives on the outskirts of the city.",그녀는 도시 외곽에 산다.
overhead expense,경상비,"The company needs to reduce its overhead expenses.",회사는 경상비를 줄여야 한다.
owing to,~때문에,"The flight was delayed owing to bad weather.",항공편이 악천후로 인해 지연되었다.
patronize,단골로 삼다,"I patronize local businesses to support the community.",나는 지역 사회를 지원하기 위해 지역 가게를 단골로 이용한다.
perishable,썩기 쉬운,"Perishable goods must be stored in a cool place.",썩기 쉬운 상품은 서늘한 곳에 보관해야 한다.
permissible,"허용되는, 허용할 수 있는","It is permissible to park here after 6 PM.",오후 6시 이후에는 여기에 주차하는 것이 허용된다.
perpetrate,"범하다, 저지르다","He perpetrated a fraud against the company.",그는 회사에 사기를 저질렀다.
persistence,"끈덕짐, 고집","Her persistence paid off after years of hard work.",그녀의 끈덕짐은 오랜 노력 끝에 결실을 맺었다.
perspective,"견지, 시각","From my perspective, the plan seems flawed.",내 시각에서 볼 때 그 계획은 결점이 있어 보인다.
persuasive,설득력 있는,"Her speech was very persuasive and changed many minds.",그녀의 연설은 매우 설득력이 있었고 많은 사람들의 마음을 바꿨다.
pertain to,~와 관련되다,"The rules pertain to all members of the group.",그 규칙은 그룹의 모든 구성원에게 적용된다.
phase out,단계적으로 없애다,"The company plans to phase out old equipment.",회사는 오래된 장비를 단계적으로 없앨 계획이다.
poised,(~을 할)준비가 다 된,"She was poised to make a decision when the phone rang.",전화가 울릴 때 그녀는 결정을 내릴 준비가 되어 있었다.
precaution,예방책,"Take precautions when handling chemicals.",화학 물질을 다룰 때 예방책을 취하세요.
precipitation,강수량,"The region has experienced high precipitation this month.",이 지역은 이번 달에 높은 강수량을 경험했다.
precisely,"정확히, 꼼꼼하게","I can’t recall precisely when it happened.",정확히 언제 일이 발생했는지 기억할 수 없다.
preferment,"승진, 발탁","His preferment surprised many of his colleagues.",그의 발탁은 많은 동료들을 놀라게 했다.
preliminary,"예비의, 사전 준비","The results are only preliminary and not final.",그 결과는 단지 예비적일 뿐이며 최종적인 것은 아니다.
premises,"구내, 건물(내)","Smoking is not allowed on the premises.",구내에서는 흡연이 허용되지 않습니다.
premier,최고의,"He is one of the premier artists of our time.",그는 우리 시대의 최고의 예술가 중 한 명이다.
prevalent,"유행하는, 널리 퍼진","This belief is prevalent in many cultures.",이 믿음은 많은 문화에서 널리 퍼져 있다.
priority,우선순위,"Safety is our top priority at all times.",안전은 항상 우리의 최우선 순위이다.
probationary period,수습기간,"New employees are on a probationary period for three months.",신입 직원들은 3개월 동안 수습기간을 가진다.
proficient,능숙한,"She is proficient in three languages.",그녀는 세 가지 언어에 능숙하다.
prohibit,금지하다,"Smoking is prohibited in this building.",이 건물에서는 흡연이 금지되어 있다.
prolong,"늘리다, 연장하다","The meeting was prolonged due to endless discussions.",그 회의는 끝없는 논의로 인해 연장되었다.
prominent,두드러진,"He has a prominent scar on his cheek.",그는 뺨에 두드러진 흉터가 있다.
prompt,신속한,"The customer service team provided a prompt response.",고객 서비스 팀은 신속한 응답을 제공했다.
stimulate,"자극하다, 촉진하다","The new policy is expected to stimulate economic growth.",새 정책은 경제 성장을 촉진할 것으로 예상된다.
stipulate,규정하다,"The contract stipulates the terms of payment.",그 계약은 지불 조건을 규정하고 있다.
stock farmer,목축업자,"The stock farmer raises cattle for a living.",그 목축업자는 생계를 위해 소를 기른다.
stingently,엄중하게,"The rules are enforced stingently to ensure compliance.",그 규칙은 준수를 보장하기 위해 엄격하게 시행된다.
strive to,~하기 위해 노력하다,"We strive to provide the best service possible.",우리는 가능한 최고의 서비스를 제공하기 위해 노력한다.
subject to,~을 겪게 하다,"The schedule is subject to change.",일정은 변경될 수 있다.
submit,제출하다,"Please submit your application by the deadline.",마감일까지 신청서를 제출하세요.
subsequent,"다음의, 그후의","The subsequent events proved her prediction correct.",그 후의 사건들은 그녀의 예측이 옳았음을 증명했다.
supplement,"보충하다, 메우다","He supplements his income by working part-time.",그는 아르바이트를 하며 수입을 보충한다.
word,meaning,example,sentence_meaning
suspicious,의심하는,"She became suspicious of his behavior.",그녀는 그의 행동에 의심을 품게 되었다.
sustain,"지탱하다, 유지하다","The bridge was designed to sustain heavy loads.",그 다리는 무거운 하중을 지탱하도록 설계되었다.
symptom,증상,"Fever and coughing are common symptoms of the flu.",열과 기침은 독감의 일반적인 증상이다.
tailor A to B,A를 B에 맞추다,"The company tailored its services to customer needs.",그 회사는 고객의 요구에 맞추어 서비스를 조정했다.
take into account,~을 고려하다,"You should take into account the weather when planning a trip.",여행을 계획할 때 날씨를 고려해야 한다.
take it back,취소하다,"He said he was sorry and took back his words.",그는 미안하다고 말하며 자신의 말을 취소했다.
tedious,지루한,"The task was so tedious that she almost fell asleep.",그 일은 너무 지루해서 그녀는 거의 잠들 뻔했다.
tentatively,임시로,"The meeting is tentatively scheduled for next Monday.",회의는 임시로 다음 주 월요일로 예정되어 있다.
testify,증언하다,"She testified in court against the defendant.",그녀는 법정에서 피고에 반대하여 증언했다.
to some extent,어느 정도,"The project was successful to some extent.",그 프로젝트는 어느 정도 성공적이었다.
trivia,사소한 일,"He enjoys reading trivia about history.",그는 역사에 관한 사소한 사실을 읽는 것을 좋아한다.
tuition,수업료,"The tuition for this semester has increased.",이번 학기의 수업료가 인상되었다.
turmoil,"혼란, 소란","The country is in political turmoil.",그 나라는 정치적 혼란 상태에 있다.
twofold,두 부분의,"The benefits of the program are twofold: financial and educational.",그 프로그램의 이점은 두 가지로 나뉜다: 재정적 및 교육적.
undergo,겪다,"She will undergo surgery next week.",그녀는 다음 주에 수술을 받을 것이다.
upkeep,"양육, 유지","The upkeep of the house requires significant effort.",그 집을 유지하는 데는 많은 노력이 필요하다.
utmost,최대의,"We must exercise the utmost caution during the operation.",우리는 작업 중에 최대한의 주의를 기울여야 한다.
utilize,활용하다,"The team utilized the latest technology to solve the problem.",그 팀은 문제를 해결하기 위해 최신 기술을 활용했다.
vaguely,"모호하게, 막연히","He vaguely remembered meeting her before.",그는 그녀를 전에 만났던 것을 막연히 기억했다.
valid,"유효한, 합법적인","Your passport must be valid for at least six months.",여권은 최소 6개월 이상 유효해야 한다.
variable,변하기 쉬운,"The weather in this region is highly variable.",이 지역의 날씨는 매우 변하기 쉽다.
vastly,"방대하게, 대단히","The company's profits have vastly increased this year.",그 회사의 수익이 올해 대단히 증가했다.
verbalize,말로 나타내다,"He struggled to verbalize his feelings.",그는 자신의 감정을 말로 표현하는 데 어려움을 겪었다.
verify,확인하다,"Please verify the information before sending it.",보내기 전에 정보를 확인하세요.
versatile,다용도의,"This tool is extremely versatile and can be used in many ways.",이 도구는 매우 다용도로 사용될 수 있다.
vital,"중요한, 필수적인","Proper nutrition is vital for good health.",적절한 영양 섭취는 건강에 필수적이다.
waive,"면제하다, 포기하다","The bank waived the late fee as a courtesy.",은행은 예의로 연체료를 면제했다.
weightlessness,무중력,"Astronauts experience weightlessness in space.",우주 비행사들은 우주에서 무중력을 경험한다.
willingly,"기꺼이, 자진해서","She willingly helped her friend with the project.",그녀는 프로젝트에서 친구를 기꺼이 도왔다.
workmanship,"기량, 솜씨","The workmanship of the handmade furniture was impressive.",수제 가구의 솜씨는 인상적이었다.
worrisome,걱정스러운,"The increasing crime rate is worrisome to the residents.",범죄율 증가가 주민들에게 걱정을 주고 있다.
